1;L;1;1053;RAHAJANIRINA Yves
1;L;2;1110;RAKOTOSON Rolland Touré
1;L;3;1444;RALAIARILIVA Jasnot Friedopher
1;L;4;1001;RANDRIAMAHAZO Jean
1;L;5;1030;RASOLOARIJAONA Simon
1;L;6;1276;ANDRIAMIRIJA Jacob
1;L;7;1163;ANDRIANANTENAINA Nirina
1;L;8;1194;ANDRIATSITRATRINIHAFA Jean Luc Nantenaina
1;L;9;1082;RADOMANANA Arinoely
1;L;10;1107;RAFALIMANANA Marka Jean
1;L;11;1069;RAHERINJATOVO Hasindray Jaona
1;L;12;1020;RAKOTONDRAFARA David
1;L;13;1011;RAKOTOZAFY Henri
1;L;14;1487;ANDRIAMIHANTA Tsimbason Tantely
1;L;15;1267;RAHOLIARISOA Heritiana Mamisoa
1;L;16;1127;RASOLOARINAIVO Fredo Dayan
1;V;1;1238;ANDRIAMBALA Enintsoa
1;V;2;1341;MIANDRISOA Odette
1;V;3;1120;RAHARINIRINA Hantamalala Jeanine
1;V;4;1332;RALALAMANANA Liliane
1;V;5;1506;RAMANGALAHY Hanitrasoa Hoby
1;V;6;1449;RASOARIVAO Hélène
1;V;7;2048;RAVAOARIVELO Oliva
1;V;8;2172;RAZAFINDRAZAKA Soloarinosy
1;V;9;2115;RAVOLOLONIRINAHARISOA Evelyne 
1;V;10;2364;RAKOTONIAINA Felasoa Alpha Romy
1;V;11;2196;RATSITRATRINIHAFA Jimminette Narisoa
1;V;12;2215;RATSITRATRINIHAFA Narisoa Claudette
1;V;13;2260;RAZAFINTSOA Gisèle Lucie
2;L;1;2150;RAHAINGOARISON Hery Nirina
2;L;2;2458;RAHARISON Solofoniaina Vonjisoa
2;L;3;2288;RAKOTO ANDRIAMAVO
2;L;4;2311;RAKOTOSON Haja Eric
2;L;5;2619;RAKOTONDRAZAFY Andritiana
2;L;6;2044;RAMAROLAHY Laurent
2;L;7;2200;RANDRIANARIVO James
2;L;8;2631;RAZAFINDRAIBE Christian Bien Aimé
2;L;9;2613;RAZANAKOTO Andrianantenaina
2;L;10;2999;TRIMOFOLOALINA RAKOTO Mahefa
2;L;11;3249;ANDRIAMAVO Fanilo Ranjanirina
2;L;12;3137;ANDRIAMIADANARIVO Mamitahiry
2;L;13;3089;RAFANOMEZANTSOA Alexandre
2;L;14;3001;RAMIHARISON Charles
2;L;15;3040;RANDRIANIRINA Liva Herisolo
2;L;16;3245;ANDRIANIRIMBAHOAKA Anjaratiana
2;L;17;3222;HERIFANOMEZANA Lovasoa
2;L;18;3018;RAMIARASON Livarizaka
2;V;1;3004;ANDRIAMAVO Meva Tsimialonarivo
2;V;2;3263;RAMAROSON Voahangy Lucie
2;V;3;3085;RAMBELOSON Sahondra Vololona
2;V;4;3233;RANDRIANANDRASANA Fanjamalala
2;V;5;3005;RAZAFIARISOA Appoline
2;V;6;4068;RAZANAJATOVO Volana
2;V;7;4221;RAKOTOMANANTSOA Verotiana
2;V;8;4125;RANDRIANANDRASANA Noeline Aimée
2;V;9;4110;RASAMOELINA Holinirina
2;V;10;4112;RASOAZANAMANANA Perline
2;V;11;4024;RAVAOSOLONIAINA Esther
3;L;1;4627;RABEARIMANANA Jean Gilbert
3;L;2;4338;RANDRIAMANANA Joseph
3;L;3;5168;RANDRIANARIJAONA Livaharilanto
3;L;4;5115;RANDRIANJAFY Jean Paul
3;L;5;5095;RAZAFINDRAIBE Zo
3;L;6;5112;RAZAFINJATOVO Daniel
3;L;7;5332;RABARISON Rodin
3;L;8;5075;RAKOTONDRAMANANA Jean Elisé 
3;V;1;5107;RAHARIMALALA Christine
3;V;2;5084;RAMANGALAHY Harisoa Michelle
3;V;3;5164;RANOROARIVELO Vololomboahangy
3;V;4;5302;RAVOAJANAHARY Rinah
3;V;5;5304;RAVONIARIMANANA Lantosoa Mamy
3;V;6;5018;RAVAOARINELINA Angeline
3;V;7;5316;RAVAOHELIVONY Fanja Liliane
3;V;8;5999;RAVAOARIMANGA Fanja Noely
4;L;1;6094;RAJOELISON Justin
4;L;2;6289;RAJOELISON Nantenaina Zo
4;L;3;6080;RAKOTOMANIRAKA Andriamamenosoa
4;L;4;6028;RAMAHENINTSOA Lovasoa William
4;L;5;6059;RANAIVO Norbert Justin
4;L;6;6046;MAMINIRINA Jean Claude
4;L;7;6239;RAKOTONDRAZAKA Rivo Philibert
4;L;8;6167;RANDRIAMIHARISOA Mamitiana Belzard
4;V;1;1039;RADAFIARIVONINOMENJANAHARY Misaeline
4;V;2;1370;RAJAOBELISON Rivo Herilanto
4;V;3;1108;RAKOTOSON Gisèle
4;V;4;1012;RANOROVOLOLONA Sahondra
4;V;5;1031;RASOANIRINA Josephine Odette
4;V;6;1021;RAHARISOA Lalaonirina Julie Joëlle
4;V;7;1375;NIVOHANITRARIMISA Fanjanirina
4;V;8;1362;RAHARINIRINA Lucky Odette 
5;L;1;1467;MAMINIAINA Fifaliana Joël Nirina
5;L;2;1246;RABESON Janvier
5;L;3;1164;RAKOTOARIMANANA Théophile
5;L;4;1290;RAKOTONANAHARY Emile
5;L;5;1268;RADIMBISON Falimanana
5;L;6;2049;RASOLOFONIRINA Tantely Thierry
5;L;7;2173;RAVOATRA Jean de Dieu
5;L;8;2365;RAVOATRANIRINA Fetraniaina
5;L;9;2219;RAJAONARISOA Donné
5;L;10;2028;RAMAHATANA Fenomanantsoa
5;V;1;2152;RAHARIMALALA Marie Justine Yvonne
5;V;2;2197;RANAIVOZANANY Yollandine Bien Aimée
5;V;3;2373;RAOBELISON Vololona
5;V;4;2514;RASOANIRINA Julie Suzanne Hermeline
5;V;5;2045;RAZAFINDRAKETAKA Ernestine
5;V;6;2340;RAZANADRAMANGA
5;V;7;2216;RAZANAJAZA Anne Marie Alice Sissi
5;V;8;2005;NASOLOANTRA Lalao Hasina
5;V;9;2498;RAKOTONIAINA Miandrisoa Haingonirina
5;V;10;3002;RAZAFINIRINA Voahirana Claudia
6;L;1;3041;ANDRIAMITANDRINA Naivosoa Voninjaka
6;L;2;3250;RALAIARILIVA Ndriana Mamy
6;L;3;3246;RATSITOARIMAHEFA Lalatiana
6;L;4;3086;RATSITRATRINIHAFA Andry Jaona
6;L;5;3232;RASOLOARINAIVO Rennel Antonny
6;L;6;3223;RAHARIVELOTANDRAMAHEFA Rivoary Niaina
6;L;7;3297;RAJAONARIVELO ANDRIANARISOA Allain Olivier
6;L;8;4240;RAKOTONIAINA Radosolo Mickael
6;V;1;4314;RAHARIMANANA Suzette Honorine
6;V;2;4222;RALAIARILIVA Mamie Jeanne
6;V;3;4069;RAMANANTENASOA Sabine
6;V;4;4252;RASOARIVONY Solomalala Robine
6;V;5;4334;RAVAOARIMANGA Marie Melanie
6;V;6;4234;RAVALOSON Minorila
;;;4339;
;;;4587;
;;;5285;
;;;5237;
;;;5069;
;;;5113;
;;;5333;
;;;5169;
;;;5060;
;;;5116;
;;;5029;
;;;5303;
;;;5165;
;;;5305;
;;;5260;
;;;6060;
;;;6047;
;;;6095;
;;;6240;
;;;6081;
;;;6172;
;;;6108;
